ID,Đại lý,Tên viết tắt,Phân loại đại lý,Đại lý mẹ,Tỉnh/Thành phố,Quận huyện,Địa chỉ,Quản lý,Có hiệu lực/Vô hiệu lực
59,Cửa Hàng Bán Lẻ LPG Chai Thanh Phong,ĐL-062Cửa Hàng Bán Lẻ LPG Chai Thanh Phong,Đại lý thứ 2,CÔNG TY TNHH DẦU KHÍ BẮC SÀI GÒN,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"20A Đường 297, KP4, Phường Phước Long B",saleshcm,Có hiệu lực
60,CÔNG TY TNHH LPG ANH TÚ,ĐL-063CÔNG TY TNHH LPG ANH TÚ,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Tân Bình,"745/31 Lạc Long Quân, Phường 10",,Có hiệu lực
61,Cửa Hàng Bán Lẻ LPG Chai Nguyễn Dũng,ĐL-064Cửa Hàng Bán Lẻ LPG Chai Nguyễn Dũng,Đại lý thứ 2,CÔNG TY TNHH DẦU KHÍ BẮC SÀI GÒN,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"750/5 QL 13 KP4 P.Hiệp Bình Phước, Phường Hiệp Bình Phước",saleshcm,Có hiệu lực
62,CÔNG TY TNHH MTV ĐẦU TƯ LIÊN MINH PHÁT,ĐL-065CÔNG TY TNHH MTV ĐẦU TƯ LIÊN MINH PHÁT,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"39/79C Đường 102, Khu phố 7, Phường Tăng Nhơn Phú A",,Có hiệu lực
63,CÔNG TY TNHH VIỆT TRANG,ĐL-066CÔNG TY TNHH VIỆT TRANG,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Dĩ An,"Lô F, đường số 6, khu công nghiệp sóng thần 2, Phường Dĩ An ",,Có hiệu lực
64,CÔNG TY CỔ PHẦN THỰC PHẨM NIDSAN,ĐL-067CÔNG TY CỔ PHẦN THỰC PHẨM NIDSAN,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"81 Hoàng Hữu Nam, Phường Tân Phú",,Có hiệu lực
65,CÔNG TY TRÁCH NHIỆM HỮU HẠN ẨM THỰC Á ĐÔNG,ĐL-068CÔNG TY TRÁCH NHIỆM HỮU HẠN ẨM THỰC Á ĐÔNG,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"81 Hoàng Hữu Nam, Phường Tân Phú",,Có hiệu lực
66,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ NAM CƯỜNG,ĐL-069CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ NAM CƯỜNG,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"219/2, khu phố 1B, Phường An Phú",salesbd,Có hiệu lực
67,NHÀ MÁY SẢN XUẤT GĂNG TAY CAO SU XUẤT KHẨU,ĐL-070NHÀ MÁY SẢN XUẤT GĂNG TAY CAO SU XUẤT KHẨU,Đại lý tổng,,Tỉnh Bình Phước,Huyện Chơn Thành,"ấp 3, Xã Minh Thành",salesbd,Có hiệu lực
68,Cơ Sở Phong Phú,ĐL-071Cơ Sở Phong Phú,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Bình Tân,"334 A, Mã Lò",,Có hiệu lực
69,CÔNG TY TRÁCH NHIỆM HỮU HẠN WAN SING RADIATOR (VIỆT NAM),ĐL-074CÔNG TY TRÁCH NHIỆM HỮU HẠN WAN SING RADIATOR (VIỆT NAM),Đại lý tổng,,Tỉnh Bình Dương,Thành phố Dĩ An,"Số 6, Đường 26, Khu công nghiệp Sóng Thần 2 - PhườngTân Đông Hiệp ",salesbd,Có hiệu lực
